pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"02","001","001",45,44,9.77799988e+01,10773,9.95400009e+01,10287,9.50500031e+01,486,4.48999977e+00,46,4.30000007e-01,4,2.99999993e-02,14220,10823,7.61100006e+01,,1,,7.80400009e+01,"9997",0,0.00000000e+00
"02","002","002",29,29,1.00000000e+02,7524,9.97399979e+01,7171,9.50599976e+01,353,4.67999983e+00,19,2.50000000e-01,1,9.99999978e-03,9012,7544,8.37099991e+01,,1,,8.37099991e+01,"9997",0,0.00000000e+00
"02","003","003",1162,1128,9.70699997e+01,315542,9.88499985e+01,299331,9.37699966e+01,16211,5.07999992e+00,3520,1.10000002e+00,143,5.00000007e-02,407306,319205,7.83700027e+01,,1,,8.07399979e+01,"0504",1631,5.50000012e-01
"02","004","004",819,790,9.64599991e+01,214540,9.90699997e+01,206846,9.55199966e+01,7694,3.54999995e+00,1930,8.89999986e-01,75,3.99999991e-02,286137,216545,7.56800003e+01,,1,,7.84100037e+01,"9997",10791,5.21999979e+00
"02","005","005",58,52,8.96600037e+01,13136,9.95299988e+01,12551,9.50999985e+01,585,4.42999983e+00,59,4.49999988e-01,2,1.99999996e-02,16874,13197,7.82099991e+01,,1,,8.40000000e+01,"9997",0,0.00000000e+00
"02","006","006",162,161,9.93799973e+01,41962,9.83700027e+01,39766,9.32200012e+01,2196,5.15000010e+00,678,1.59000003e+00,17,3.99999991e-02,53781,42657,7.93199997e+01,,1,,7.98399963e+01,"0505",2221,5.59000015e+00
"02","007","007",690,671,9.72500000e+01,176439,9.82699966e+01,167405,9.32399979e+01,9034,5.03000021e+00,2984,1.65999997e+00,128,7.00000003e-02,238581,179551,7.52600021e+01,,1,,7.74199982e+01,"9997",29549,1.76499996e+01
"02","008","008",110,110,1.00000000e+02,29688,9.88799973e+01,28126,9.36800003e+01,1562,5.19999981e+00,322,1.07000005e+00,12,5.00000007e-02,37198,30022,8.07099991e+01,,1,,8.07099991e+01,"9997",0,0.00000000e+00
"02","009","009",82,82,1.00000000e+02,21010,9.90800018e+01,20021,9.44199982e+01,989,4.65999985e+00,177,8.29999983e-01,18,9.00000036e-02,26491,21205,8.00500031e+01,,1,,8.00500031e+01,"0507",784,3.92000008e+00
"02","010","010",70,67,9.57099991e+01,18466,9.94599991e+01,17627,9.49400024e+01,839,4.51999998e+00,84,4.49999988e-01,17,9.00000036e-02,23617,18567,7.86200027e+01,,1,,8.23099976e+01,"9997",0,0.00000000e+00
"02","011","011",685,647,9.44499969e+01,185144,9.92900009e+01,170203,9.12799988e+01,14941,8.01000023e+00,1205,6.49999976e-01,116,5.99999987e-02,239059,186465,7.80000000e+01,,1,,8.26299973e+01,"9997",5638,3.30999994e+00
"02","012","012",214,199,9.29899979e+01,55362,9.89599991e+01,52859,9.44899979e+01,2503,4.46999979e+00,540,9.70000029e-01,42,7.00000003e-02,74769,55944,7.48199997e+01,,1,,8.05400009e+01,"9997",3911,7.40000010e+00
"02","013","013",91,88,9.66999969e+01,22758,9.92300034e+01,21903,9.55000000e+01,855,3.73000002e+00,169,7.40000010e-01,7,2.99999993e-02,29130,22934,7.87300034e+01,,1,,8.16900024e+01,"9997",0,0.00000000e+00
"02","014","014",105,101,9.61900024e+01,26998,9.90500031e+01,26025,9.54800034e+01,973,3.56999993e+00,257,9.39999998e-01,2,9.99999978e-03,34856,27257,7.81999969e+01,,1,,8.15100021e+01,"0511",250,9.49999988e-01
"02","015","015",62,57,9.19400024e+01,15871,9.89599991e+01,15055,9.38700027e+01,816,5.09000015e+00,156,9.70000029e-01,11,7.00000003e-02,20535,16038,7.80999985e+01,,1,,8.39100037e+01,"0347",332,2.20000005e+00
"02","016","016",208,192,9.23099976e+01,54250,9.87399979e+01,52362,9.53000031e+01,1888,3.44000006e+00,677,1.23000002e+00,16,2.99999993e-02,72012,54943,7.63000031e+01,,1,,8.27699966e+01,"9997",3111,5.94000006e+00
"02","017","017",111,103,9.27900009e+01,28060,9.92900009e+01,26612,9.41699982e+01,1448,5.11999989e+00,185,6.49999976e-01,15,5.99999987e-02,37206,28260,7.59599991e+01,,1,,8.21800003e+01,"9997",0,0.00000000e+00
"02","018","018",35,34,9.71399994e+01,9022,9.92900009e+01,8643,9.51200027e+01,379,4.17000008e+00,55,6.10000014e-01,9,1.00000001e-01,11709,9086,7.75999985e+01,,1,,8.00000000e+01,"0513",117,1.35000002e+00
"02","019","019",57,55,9.64899979e+01,14715,9.98399963e+01,14096,9.56399994e+01,619,4.19999981e+00,20,1.40000001e-01,3,1.99999996e-02,18328,14738,8.04100037e+01,,1,,8.21900024e+01,"9997",0,0.00000000e+00
"02","020","020",31,30,9.67699966e+01,8060,9.96299973e+01,7781,9.61800003e+01,279,3.45000005e+00,28,3.49999994e-01,2,1.99999996e-02,9811,8090,8.24599991e+01,,1,,8.55000000e+01,"9997",0,0.00000000e+00
"02","021","021",36,35,9.72200012e+01,9645,9.96100006e+01,9350,9.65599976e+01,295,3.04999995e+00,35,3.60000014e-01,3,2.99999993e-02,12088,9683,8.00999985e+01,,1,,8.25000000e+01,"0513",66,7.09999979e-01
"02","022","022",72,71,9.86100006e+01,18130,9.88099976e+01,17022,9.27699966e+01,1108,6.03999996e+00,216,1.17999995e+00,2,9.99999978e-03,24196,18348,7.58300018e+01,,1,,7.69400024e+01,"9997",0,0.00000000e+00
"02","023","023",23,23,1.00000000e+02,5998,9.91500015e+01,5769,9.53600006e+01,229,3.78999996e+00,51,8.39999974e-01,1,9.99999978e-03,7190,6050,8.41399994e+01,,1,,8.41399994e+01,"9997",0,0.00000000e+00
"02","024","024",60,57,9.50000000e+01,15066,9.92799988e+01,14425,9.50599976e+01,641,4.21999979e+00,107,7.09999979e-01,2,9.99999978e-03,19955,15175,7.60500031e+01,,1,,7.99000015e+01,"0507",418,2.90000010e+00
"02","025","025",47,42,8.93600006e+01,10073,9.84899979e+01,9579,9.36600037e+01,494,4.82999992e+00,153,1.50000000e+00,1,9.99999978e-03,13699,10227,7.46600037e+01,,1,,8.15699997e+01,"9997",0,0.00000000e+00
"02","026","026",63,63,1.00000000e+02,15602,9.89300003e+01,13635,8.64599991e+01,1967,1.24700003e+01,166,1.04999995e+00,3,1.99999996e-02,19937,15771,7.90999985e+01,,1,,7.90999985e+01,"9997",0,0.00000000e+00
"02","027","027",140,137,9.78600006e+01,34261,9.79800034e+01,32701,9.35199966e+01,1560,4.46000004e+00,678,1.94000006e+00,29,7.99999982e-02,47659,34968,7.33700027e+01,,1,,7.50199966e+01,"9997",5115,1.56400003e+01
"02","028","028",101,97,9.60400009e+01,25087,9.78600006e+01,24215,9.44599991e+01,872,3.40000010e+00,527,2.05999994e+00,20,7.99999982e-02,32905,25634,7.79000015e+01,,1,,8.13600006e+01,"9997",1245,5.13999987e+00
"02","029","029",120,116,9.66699982e+01,31000,9.90100021e+01,29728,9.49499969e+01,1272,4.05999994e+00,292,9.30000007e-01,17,5.99999987e-02,39525,31309,7.92099991e+01,,1,,8.17799988e+01,"0513",555,1.87000000e+00
"02","030","030",92,85,9.23899994e+01,23355,9.98399963e+01,21940,9.37900009e+01,1415,6.05000019e+00,36,1.50000006e-01,2,9.99999978e-03,30055,23393,7.78300018e+01,,1,,8.21900024e+01,"9997",1613,7.34999990e+00
"02","031","031",166,160,9.63899994e+01,43592,9.95800018e+01,42402,9.68600006e+01,1190,2.72000003e+00,183,4.19999987e-01,3,0.00000000e+00,54542,43778,8.02600021e+01,,1,,8.29499969e+01,"9997",0,0.00000000e+00
"02","032","032",43,43,1.00000000e+02,11477,9.88499985e+01,11053,9.51999969e+01,424,3.65000010e+00,127,1.09000003e+00,6,5.99999987e-02,13991,11610,8.29800034e+01,,1,,8.29800034e+01,"9997",0,0.00000000e+00
"02","033","033",68,67,9.85299988e+01,18369,9.89000015e+01,17798,9.58300018e+01,571,3.06999993e+00,192,1.02999997e+00,11,7.00000003e-02,22645,18572,8.20100021e+01,,1,,8.33099976e+01,"9997",0,0.00000000e+00
"02","034","034",145,141,9.72399979e+01,38646,9.90800018e+01,36833,9.44300003e+01,1813,4.65000010e+00,334,8.60000014e-01,26,5.99999987e-02,50295,39006,7.75500031e+01,,1,,7.97799988e+01,"9997",2620,7.11000013e+00
"02","035","035",446,426,9.55199966e+01,119658,9.91900024e+01,112186,9.30000000e+01,7472,6.19000006e+00,890,7.40000010e-01,78,7.00000003e-02,155913,120626,7.73700027e+01,,1,,8.10299988e+01,"9997",8538,7.61000013e+00
"02","036","036",586,552,9.41999969e+01,152297,9.87099991e+01,144136,9.34199982e+01,8161,5.28999996e+00,1849,1.20000005e+00,134,9.00000036e-02,204604,154280,7.54000015e+01,,1,,8.00899963e+01,"9997",3330,2.30999994e+00
