depCodigoProvincia,depCodigoDepartamento,depNombre
"01","001","Comuna 01"
"01","002","Comuna 02"
"01","003","Comuna 03"
"01","004","Comuna 04"
"01","005","Comuna 05"
"01","006","Comuna 06"
"01","007","Comuna 07"
"01","008","Comuna 08"
"01","009","Comuna 09"
"01","010","Comuna 10"
"01","011","Comuna 11"
"01","012","Comuna 12"
"01","013","Comuna 13"
"01","014","Comuna 14"
"01","015","Comuna 15"
"01","999","Ciudad Autónoma Bs.As."
"02","001","Adolfo Alsina"
"02","002","Alberti"
"02","003","Almirante Brown"
"02","004","Avellaneda"
"02","005","Ayacucho"
"02","006","Azul"
"02","007","Bahía Blanca"
"02","008","Balcarce"
"02","009","Baradero"
"02","010","Arrecifes"
"02","011","Berazategui"
"02","012","Berisso"
"02","013","Bolívar"
"02","014","Bragado"
"02","015","Brandsen"
"02","016","Campana"
"02","017","Cañuelas"
"02","018","Capitán Sarmiento"
"02","019","Carlos Casares"
"02","020","Carlos Tejedor"
"02","021","Carmen de Areco"
"02","022","Patagones"
"02","023","Castelli"
"02","024","Colón"
"02","025","Coronel Dorrego"
"02","026","Coronel Pringles"
"02","027","Coronel Rosales"
"02","028","Coronel Suárez"
"02","029","Chacabuco"
"02","030","Chascomús"
"02","031","Chivilcoy"
"02","032","Daireaux"
"02","033","Dolores"
"02","034","Ensenada"
"02","035","Escobar"
"02","036","Esteban Echeverría"
"02","037","Exaltación de la Cruz"
"02","038","Florencio Varela"
"02","039","General Alvarado"
"02","040","General Alvear"
"02","041","General Arenales"
"02","042","General Belgrano"
"02","043","General Guido"
"02","044","General La Madrid"
"02","045","General Las Heras"
"02","046","General Lavalle"
"02","047","General Madariaga"
"02","048","General Paz"
"02","049","General Pinto"
"02","050","General Pueyrredón"
"02","051","General Rodríguez"
"02","052","General San Martín"
"02","053","San Miguel"
"02","054","General Viamonte"
"02","055","General Villegas"
"02","056","Adolfo Gonzales Chaves"
"02","057","Guamini"
"02","058","Hipólito Yrigoyen"
"02","059","Benito Juárez"
"02","060","Junín"
"02","061","La Matanza"
"02","062","Lanús"
"02","063","La Plata"
"02","064","Laprida"
"02","065","Las Flores"
"02","066","Leandro N. Alem"
"02","067","Lincoln"
"02","068","Loberia"
"02","069","Lobos"
"02","070","Lomas de Zamora"
"02","071","Luján"
"02","072","Magdalena"
"02","073","Maipú"
"02","074","Mar Chiquita"
"02","075","Marcos Paz"
"02","076","Mercedes"
"02","077","Merlo"
"02","078","Monte"
"02","079","Moreno"
"02","080","Morón"
"02","081","Navarro"
"02","082","Necochea"
"02","083","9 de Julio"
"02","084","Olavarría"
"02","085","Pehuajó"
"02","086","Pellegrini"
"02","087","Pergamino"
"02","088","Pila"
"02","089","Pilar"
"02","090","Pinamar"
"02","091","Puan"
"02","092","Quilmes"
"02","093","Ramallo"
"02","094","Rauch"
"02","095","Rivadavia"
"02","096","Rojas"
"02","097","Roque Pérez"
"02","098","Saavedra"
"02","099","Saladillo"
"02","100","Salliqueló"
"02","101","Salto"
"02","102","San Andrés de Giles"
"02","103","San Antonio de Areco"
"02","104","San Cayetano"
"02","105","San Fernando"
"02","106","San Isidro"
"02","107","San Nicolás"
"02","108","San Pedro"
"02","109","San Vicente"
"02","110","Suipacha"
"02","111","Tandil"
"02","112","Tapalqué"
"02","113","Tigre"
"02","114","Tornquist"
"02","115","Trenque Lauquén"
"02","116","Tordillo"
"02","117","Tres Arroyos"
"02","118","Tres de Febrero"
"02","119","La Costa"
"02","120","Monte Hermoso"
"02","121","25 de Mayo"
"02","122","Vicente López"
"02","123","Villa Gesell"
"02","124","Villarino"
"02","125","Zárate"
"02","126","Tres Lomas"
"02","127","Florentino Ameghino"
"02","128","Presidente Perón"
"02","129","José C. Paz"
"02","130","Malvinas Argentinas"
"02","131","Punta Indio"
"02","132","Ezeiza"
"02","133","Ituzaingo"
"02","134","Hurlingham"
"02","135","Lezama"
"02","991","Sección Primera"
"02","992","Sección Segunda"
"02","993","Sección Tercera"
"02","994","Sección Cuarta"
"02","995","Sección Quinta"
"02","996","Sección Sexta"
"02","997","Sección Séptima"
"02","998","Sección Capital"
"02","999","Buenos Aires"
"03","001","Capital"
"03","002","Capayan"
"03","003","La Paz"
"03","004","Ancasti"
"03","005","El Alto"
"03","006","Santa Rosa"
"03","007","Paclin"
"03","008","Valle Viejo"
"03","009","Fray Mamerto Esquiú"
"03","010","Ambato"
"03","011","Pomán"
"03","012","Andalgalá"
"03","013","Belén"
"03","014","Antofagasta de la Sierra"
"03","015","Tinogasta"
"03","016","Santa María"
"03","999","Catamarca"
"04","001","Capital"
"04","002","Calamuchita"
"04","003","Colón"
"04","004","Cruz del Eje"
"04","005","General Roca"
"04","006","General San Martín"
"04","007","Ischilin"
"04","008","Juárez Celman"
"04","009","Marcos Juárez"
"04","010","Minas"
"04","011","Pocho"
"04","012","Punilla"
"04","013","Río Cuarto"
"04","014","Río Primero"
"04","015","Río Seco"
"04","016","Río Segundo"
"04","017","Presidente Roque Sáenz Peña"
"04","018","San Alberto"
"04","019","San Javier"
"04","020","San Justo"
"04","021","Santa María"
"04","022","Sobremonte"
"04","023","Tercero Arriba"
"04","024","Totoral"
"04","025","Tulumba"
"04","026","Unión"
"04","999","Córdoba"
"05","001","Capital"
"05","002","Goya"
"05","003","Curuzú Cuatiá"
"05","004","Mercedes"
"05","005","Esquina"
"05","006","Lavalle"
"05","007","Santo Tomé"
"05","008","Paso de los Libres"
"05","009","Monte Caseros"
"05","010","San Luis del Palmar"
"05","011","Bella Vista"
"05","012","Empedrado"
"05","013","San Roque"
"05","014","General Paz"
"05","015","Saladas"
"05","016","San Martín"
"05","017","Concepción"
"05","018","Mburucuya"
"05","019","Ituzaingo"
"05","020","Sauce"
"05","021","San Cosme"
"05","022","General Alvear"
"05","023","San Miguel"
"05","024","Itati"
"05","025","Berón de Astrada"
"05","999","Corrientes"
"06","001","San Fernando"
"06","002","1º de Mayo"
"06","003","Libertad"
"06","004","General Donovan"
"06","005","Sargento Cabral"
"06","006","Presidencia de la Plaza"
"06","007","Bermejo"
"06","008","Libertador General San Martín"
"06","009","Tapenaga"
"06","010","San Lorenzo"
"06","011","Mayor Luis J. Fontana"
"06","012","O'higgins"
"06","013","Comandante Fernández"
"06","014","Quitilipi"
"06","015","25 de Mayo"
"06","016","Maipú"
"06","017","Independencia"
"06","018","General Belgrano"
"06","019","9 de Julio"
"06","020","Chacabuco"
"06","021","12 de Octubre"
"06","022","2 de Abril"
"06","023","Fray Justo Santa María de Oro"
"06","024","Almirante Brown"
"06","025","General Güemes"
"06","999","Chaco"
"07","001","Rawson"
"07","002","Biedma"
"07","003","Telsen"
"07","004","Gastre"
"07","005","Cushamen"
"07","006","Futaleufú"
"07","007","Languiñeo"
"07","008","Tehuelches"
"07","009","Paso de Indios"
"07","010","Mártires"
"07","011","Florentino Ameghino"
"07","012","Gaiman"
"07","013","Río Senguer"
"07","014","Sarmiento"
"07","015","Escalante"
"07","999","Chubut"
"08","001","Paraná"
"08","003","La Paz"
"08","004","Diamante"
"08","005","Victoria"
"08","006","Nogoyá"
"08","007","Gualeguay"
"08","008","Tala"
"08","009","Uruguay"
"08","010","Gualeguaychú"
"08","011","Islas del Ibicuy"
"08","012","Villaguay"
"08","013","Concordia"
"08","014","Federal"
"08","015","Colón"
"08","016","Feliciano"
"08","017","Federación"
"08","018","San Salvador"
"08","999","Entre Ríos"
"09","001","Formosa"
"09","002","Laishi"
"09","003","Pilcomayo"
"09","004","Pirané"
"09","005","Pilagas"
"09","006","Patiño"
"09","007","Bermejo"
"09","008","Matacos"
"09","009","Ramón Lista"
"09","999","Formosa"
"10","001","Dr. Manuel Belgrano"
"10","002","Palpalá"
"10","003","San Antonio"
"10","004","El Carmen"
"10","005","San Pedro"
"10","006","Santa Bárbara"
"10","007","Ledesma"
"10","008","Valle Grande"
"10","009","Tumbaya"
"10","010","Tilcara"
"10","011","Humahuaca"
"10","012","Cochinoca"
"10","013","Rinconada"
"10","014","Santa Catalina"
"10","015","Yavi"
"10","016","Susques"
"10","999","Jujuy"
"11","001","Atreuco"
"11","002","Capital"
"11","003","Caleu Caleu"
"11","004","Catriló"
"11","005","Chalileo"
"11","006","Chapaleufu"
"11","007","Chical Co"
"11","008","Conhelo"
"11","009","Curaco"
"11","010","Guatrache"
"11","011","Hucal"
"11","012","Loventue"
"11","013","Lihuel Calel"
"11","014","Limay Mahuida"
"11","015","Maraco"
"11","016","Puelen"
"11","017","Quemu Quemu"
"11","018","Rancul"
"11","019","Realicó"
"11","020","Toay"
"11","021","Trenel"
"11","022","Utracán"
"11","999","La Pampa"
"12","001","Capital"
"12","002","Sanagasta"
"12","003","Castro Barros"
"12","004","Arauco"
"12","005","San Blas de los Sauces"
"12","006","Chilecito"
"12","007","Famatina"
"12","008","Coronel Felipe Varela"
"12","009","General Lamadrid"
"12","010","Vinchina"
"12","011","Independencia"
"12","012","Chamical"
"12","013","General Angel Vicente Peñaloza"
"12","014","General Belgrano"
"12","015","General Juan Facundo Quiroga"
"12","016","General Ortiz de Ocampo"
"12","017","Rosario Vera Peñaloza"
"12","018","General San Martín"
"12","999","La Rioja"
"13","001","Capital"
"13","002","Godoy Cruz"
"13","003","Guaymallén"
"13","004","Las Heras"
"13","005","Lavalle"
"13","006","Maipú"
"13","007","Luján de Cuyo"
"13","008","Tupungato"
"13","009","San Martín"
"13","010","Junín"
"13","011","Rivadavia"
"13","012","Tunuyán"
"13","013","San Carlos"
"13","014","Santa Rosa"
"13","015","La Paz"
"13","016","San Rafael"
"13","017","Malargüe"
"13","018","General Alvear"
"13","991","Sección Primera"
"13","992","Sección Segunda"
"13","993","Sección Tercera"
