pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"01","001","999",536,527,9.83199997e+01,125814,9.89899979e+01,118908,9.35599976e+01,6906,5.42999983e+00,1209,9.49999988e-01,69,5.99999987e-02,185226,127092,6.86100006e+01,,0,,6.98000031e+01,"0506",2576,2.16000009e+00
"01","002","999",432,422,9.76900024e+01,106157,9.92900009e+01,102094,9.54899979e+01,4063,3.79999995e+00,726,6.80000007e-01,34,2.99999993e-02,149137,106917,7.16900024e+01,,0,,7.33899994e+01,"0187",1573,1.53999996e+00
"01","003","999",483,480,9.93799973e+01,119996,9.88799973e+01,112408,9.26299973e+01,7588,6.25000000e+00,1260,1.03999996e+00,94,7.99999982e-02,167080,121350,7.26299973e+01,,0,,7.30899963e+01,"0187",3005,2.67000008e+00
"01","004","999",514,505,9.82500000e+01,132237,9.87900009e+01,123930,9.25800018e+01,8307,6.21000004e+00,1549,1.15999997e+00,81,5.00000007e-02,177500,133867,7.54199982e+01,,0,,7.67600021e+01,"0506",2583,2.07999992e+00
"01","005","999",454,452,9.95599976e+01,120383,9.90100021e+01,113850,9.36399994e+01,6533,5.36999989e+00,1147,9.39999998e-01,53,5.00000007e-02,157327,121583,7.72799988e+01,,0,,7.76200027e+01,"0187",3494,3.06999993e+00
"01","006","999",456,454,9.95599976e+01,124715,9.91200027e+01,118805,9.44199982e+01,5910,4.69999981e+00,1027,8.19999993e-01,83,5.99999987e-02,158425,125825,7.94199982e+01,,0,,7.97699966e+01,"0187",3504,2.95000005e+00
"01","007","999",497,494,9.94000015e+01,132227,9.89499969e+01,124318,9.30299988e+01,7909,5.92000008e+00,1312,9.80000019e-01,99,7.00000003e-02,172234,133638,7.75899963e+01,,0,,7.80599976e+01,"0187",3389,2.73000002e+00
"01","008","999",390,388,9.94899979e+01,103539,9.86299973e+01,96818,9.22300034e+01,6721,6.40000010e+00,1341,1.27999997e+00,89,9.00000036e-02,135809,104969,7.72900009e+01,,0,,7.76900024e+01,"0506",1537,1.59000003e+00
"01","009","999",426,423,9.93000031e+01,115213,9.88899994e+01,108031,9.27300034e+01,7182,6.15999985e+00,1219,1.04999995e+00,69,5.99999987e-02,146783,116501,7.93700027e+01,,0,,7.99300003e+01,"0506",2510,2.31999993e+00
"01","010","999",428,423,9.88300018e+01,116079,9.89499969e+01,109325,9.31900024e+01,6754,5.76000023e+00,1159,9.90000010e-01,78,5.99999987e-02,148273,117316,7.91200027e+01,,0,,8.00599976e+01,"0506",2842,2.59999990e+00
