pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"02","002","999",29,29,1.00000000e+02,7564,9.97200012e+01,7011,9.24300003e+01,553,7.28999996e+00,21,2.80000001e-01,0,0.00000000e+00,9012,7585,8.41699982e+01,,0,,8.41699982e+01,"9997",0,0.00000000e+00
"02","005","999",58,52,8.96600037e+01,12989,9.93199997e+01,11707,8.95199966e+01,1282,9.80000019e+00,86,6.60000026e-01,2,1.99999996e-02,16874,13077,7.75000000e+01,,0,,8.32399979e+01,"0513",186,1.59000003e+00
"02","006","999",162,161,9.93799973e+01,42116,9.84100037e+01,38416,8.97600021e+01,3700,8.64999962e+00,664,1.54999995e+00,17,3.99999991e-02,53781,42797,7.95800018e+01,,0,,8.00999985e+01,"9997",0,0.00000000e+00
"02","008","999",110,110,1.00000000e+02,29808,9.89499969e+01,27212,9.03300018e+01,2596,8.61999989e+00,308,1.01999998e+00,8,2.99999993e-02,37198,30124,8.09800034e+01,,0,,8.09800034e+01,"0505",819,3.00999999e+00
"02","013","999",91,88,9.66999969e+01,22839,9.92799988e+01,20647,8.97500000e+01,2192,9.52999973e+00,162,6.99999988e-01,5,1.99999996e-02,29130,23006,7.89800034e+01,,0,,8.19400024e+01,"9997",0,0.00000000e+00
"02","014","999",105,101,9.61900024e+01,26773,9.90500031e+01,25143,9.30199966e+01,1630,6.03000021e+00,252,9.30000007e-01,4,1.99999996e-02,34856,27029,7.75400009e+01,,0,,8.08300018e+01,"9997",0,0.00000000e+00
"02","016","999",208,192,9.23099976e+01,54044,9.86100006e+01,48253,8.80400009e+01,5791,1.05699997e+01,752,1.37000000e+00,12,1.99999996e-02,72012,54808,7.61100006e+01,,0,,8.25699997e+01,"9997",0,0.00000000e+00
"02","019","999",57,55,9.64899979e+01,14671,9.98199997e+01,13638,9.27900009e+01,1033,7.03000021e+00,23,1.59999996e-01,3,1.99999996e-02,18328,14697,8.01900024e+01,,0,,8.19599991e+01,"9997",0,0.00000000e+00
"02","020","999",31,30,9.67699966e+01,8009,9.96399994e+01,7561,9.40699997e+01,448,5.57000017e+00,27,3.40000004e-01,2,1.99999996e-02,9811,8038,8.19300003e+01,,0,,8.49499969e+01,"9997",0,0.00000000e+00
"02","023","999",23,23,1.00000000e+02,5763,9.85299988e+01,5334,9.11999969e+01,429,7.32999992e+00,85,1.45000005e+00,1,1.99999996e-02,7190,5849,8.13499985e+01,,0,,8.13499985e+01,"0513",59,1.11000001e+00
"02","029","999",120,116,9.66699982e+01,31155,9.90400009e+01,29601,9.40999985e+01,1554,4.94000006e+00,286,9.10000026e-01,15,5.00000007e-02,39525,31456,7.95899963e+01,,0,,8.21600037e+01,"9997",0,0.00000000e+00
"02","030","999",92,85,9.23899994e+01,23397,9.98799973e+01,19295,8.23700027e+01,4102,1.75100002e+01,26,1.09999999e-01,3,9.99999978e-03,30055,23426,7.79400024e+01,,0,,8.23099976e+01,"0513",274,1.41999996e+00
