vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"02","001","001","0501",2,3855,3.74700012e+01,0
"02","001","001","0507",4,689,6.69999981e+00,0
"02","001","001","0510",3,1602,1.55699997e+01,0
"02","001","001","0514",1,4141,4.02599983e+01,0
"02","002","002","0501",2,2366,3.29900017e+01,0
"02","002","002","0507",4,333,4.63999987e+00,0
"02","002","002","0510",3,1165,1.62500000e+01,0
"02","002","002","0514",1,3307,4.61199989e+01,0
"02","003","003","0501",2,97562,3.25900002e+01,0
"02","003","003","0504",6,1631,5.50000012e-01,0
"02","003","003","0505",4,17589,5.88000011e+00,0
"02","003","003","0507",5,11955,3.99000001e+00,0
"02","003","003","0510",1,146648,4.89900017e+01,0
"02","003","003","0514",3,23946,8.00000000e+00,0
"02","004","004","0023",3,34330,1.66000004e+01,0
"02","004","004","0501",1,81003,3.91599998e+01,0
"02","004","004","0505",5,13002,6.28999996e+00,0
"02","004","004","0507",6,7725,3.73000002e+00,0
"02","004","004","0510",2,44568,2.15499992e+01,0
"02","004","004","0511",7,3066,1.48000002e+00,0
"02","004","004","0514",4,23152,1.11899996e+01,0
"02","005","005","0501",2,4335,3.45400009e+01,0
"02","005","005","0507",4,350,2.78999996e+00,0
"02","005","005","0510",3,1491,1.18800001e+01,0
"02","005","005","0514",1,6375,5.07900009e+01,0
"02","006","006","0349",3,7580,1.90599995e+01,0
"02","006","006","0501",4,5903,1.48400002e+01,0
"02","006","006","0505",6,2221,5.59000015e+00,0
"02","006","006","0507",5,2971,7.46999979e+00,0
"02","006","006","0510",2,8711,2.19099998e+01,0
"02","006","006","0514",1,12380,3.11299992e+01,0
"02","007","007","0349",5,17072,1.01999998e+01,0
"02","007","007","0350",2,32490,1.94099998e+01,0
"02","007","007","0372",8,3464,2.06999993e+00,0
"02","007","007","0501",4,24869,1.48599997e+01,0
"02","007","007","0505",7,12670,7.57000017e+00,0
"02","007","007","0507",3,29923,1.78700008e+01,0
"02","007","007","0510",1,33502,2.00100002e+01,0
"02","007","007","0514",6,13415,8.01000023e+00,0
"02","008","008","0501",3,6884,2.44799995e+01,0
"02","008","008","0507",4,1653,5.88000011e+00,0
"02","008","008","0510",2,7333,2.60699997e+01,0
"02","008","008","0513",5,1140,4.05000019e+00,0
"02","008","008","0514",1,11116,3.95200005e+01,0
"02","009","009","0347",4,2503,1.24899998e+01,0
"02","009","009","0501",3,4358,2.17700005e+01,0
"02","009","009","0505",5,818,4.09000015e+00,0
"02","009","009","0507",6,784,3.92000008e+00,0
"02","009","009","0510",2,5228,2.61100006e+01,0
"02","009","009","0514",1,6330,3.16200008e+01,0
"02","010","010","0501",2,5367,3.04500008e+01,0
"02","010","010","0507",4,1162,6.59000015e+00,0
"02","010","010","0510",3,4812,2.72999992e+01,0
"02","010","010","0513",5,541,3.06999993e+00,0
"02","010","010","0514",1,5745,3.25900002e+01,0
"02","011","011","0501",1,87538,5.14300003e+01,0
"02","011","011","0505",4,9914,5.82000017e+00,0
"02","011","011","0507",5,7939,4.65999985e+00,0
"02","011","011","0510",2,46398,2.72600002e+01,0
"02","011","011","0511",7,2039,1.21000004e+00,0
"02","011","011","0513",6,3599,2.10999990e+00,0
"02","011","011","0514",3,12776,7.51000023e+00,0
"02","012","012","0349",3,9417,1.78199997e+01,0
"02","012","012","0501",4,7312,1.38299999e+01,0
"02","012","012","0505",6,2973,5.61999989e+00,0
"02","012","012","0507",5,3081,5.82999992e+00,0
"02","012","012","0510",1,19513,3.69199982e+01,0
"02","012","012","0511",7,938,1.76999998e+00,0
"02","012","012","0514",2,9625,1.82099991e+01,0
"02","013","013","0023",3,2960,1.35100002e+01,0
"02","013","013","0501",1,9421,4.30099983e+01,0
