vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"01","001","999","0187",5,3983,3.36999989e+00,0
"01","001","999","0501",3,27995,2.37000008e+01,0
"01","001","999","0502",2,33990,2.87800007e+01,0
"01","001","999","0503",1,43295,3.66500015e+01,0
"01","001","999","0505",4,6463,5.46999979e+00,0
"01","001","999","0506",6,2392,2.02999997e+00,0
"01","002","999","0187",5,2529,2.49000001e+00,0
"01","002","999","0501",3,12306,1.21099997e+01,0
"01","002","999","0502",2,39144,3.85299988e+01,0
"01","002","999","0503",1,42275,4.16100006e+01,0
"01","002","999","0505",4,3850,3.78999996e+00,0
"01","002","999","0506",6,1488,1.47000003e+00,0
"01","003","999","0187",5,4325,3.86999989e+00,0
"01","003","999","0501",3,27440,2.45599995e+01,0
"01","003","999","0502",2,33384,2.98799992e+01,0
"01","003","999","0503",1,36128,3.23300018e+01,0
"01","003","999","0505",4,7614,6.80999994e+00,0
"01","003","999","0506",6,2850,2.54999995e+00,0
"01","004","999","0187",5,3803,3.10999990e+00,0
"01","004","999","0501",2,35146,2.87199993e+01,0
"01","004","999","0502",3,29431,2.40499992e+01,0
"01","004","999","0503",1,43474,3.55200005e+01,0
"01","004","999","0505",4,8122,6.63999987e+00,0
"01","004","999","0506",6,2414,1.96000004e+00,0
"01","005","999","0187",5,5170,4.57999992e+00,0
"01","005","999","0501",3,26709,2.36599998e+01,0
"01","005","999","0502",1,36421,3.22599983e+01,0
"01","005","999","0503",2,33756,2.98999996e+01,0
"01","005","999","0505",4,7400,6.55000019e+00,0
"01","005","999","0506",6,3439,3.04999995e+00,0
"01","006","999","0187",5,5521,4.67999983e+00,0
"01","006","999","0501",3,22653,1.91800003e+01,0
"01","006","999","0502",1,43691,3.70000000e+01,0
"01","006","999","0503",2,36023,3.05100002e+01,0
"01","006","999","0505",4,6587,5.57999992e+00,0
"01","006","999","0506",6,3604,3.04999995e+00,0
"01","007","999","0187",5,4953,4.01999998e+00,0
"01","007","999","0501",3,29405,2.38400002e+01,0
"01","007","999","0502",1,39663,3.21599998e+01,0
"01","007","999","0503",2,38860,3.15100002e+01,0
"01","007","999","0505",4,7104,5.76000023e+00,0
"01","007","999","0506",6,3336,2.71000004e+00,0
"01","008","999","0187",5,2534,2.65000010e+00,0
"01","008","999","0501",2,31943,3.33499985e+01,0
"01","008","999","0502",3,19506,2.03600006e+01,0
"01","008","999","0503",1,34880,3.64099998e+01,0
"01","008","999","0505",4,5437,5.67999983e+00,0
"01","008","999","0506",6,1495,1.54999995e+00,0
"01","009","999","0187",5,3846,3.57999992e+00,0
"01","009","999","0501",3,27656,2.57500000e+01,0
"01","009","999","0502",2,30724,2.86000004e+01,0
"01","009","999","0503",1,36737,3.42000008e+01,0
"01","009","999","0505",4,6195,5.76999998e+00,0
"01","009","999","0506",6,2259,2.09999990e+00,0
"01","010","999","0187",5,4811,4.42999983e+00,0
"01","010","999","0501",3,24185,2.22600002e+01,0
"01","010","999","0502",1,35614,3.27799988e+01,0
"01","010","999","0503",2,34966,3.21800003e+01,0
"01","010","999","0505",4,6504,5.98999977e+00,0
"01","010","999","0506",6,2570,2.35999990e+00,0
"01","011","999","0187",5,5499,4.42999983e+00,0
"01","011","999","0501",3,25015,2.01499996e+01,0
"01","011","999","0502",1,43555,3.50900002e+01,0
"01","011","999","0503",2,40279,3.24500008e+01,0
"01","011","999","0505",4,6999,5.63999987e+00,0
"01","011","999","0506",6,2767,2.24000001e+00,0
"01","012","999","0187",5,5507,4.07999992e+00,0
"01","012","999","0501",3,26555,1.96900005e+01,0
"01","012","999","0502",2,44737,3.31800003e+01,0
"01","012","999","0503",1,47308,3.50900002e+01,0
"01","012","999","0505",4,7846,5.82000017e+00,0
"01","012","999","0506",6,2883,2.14000010e+00,0
"01","013","999","0187",5,4964,3.18000007e+00,0
"01","013","999","0501",3,21709,1.39099998e+01,0
"01","013","999","0502",2,58672,3.75999985e+01,0
"01","013","999","0503",1,60686,3.88899994e+01,0
"01","013","999","0505",4,6921,4.44000006e+00,0
"01","013","999","0506",6,3078,1.98000002e+00,0
"01","014","999","0187",5,4635,3.08999991e+00,0
"01","014","999","0501",3,22668,1.51000004e+01,0
"01","014","999","0502",2,55662,3.70699997e+01,0
"01","014","999","0503",1,57183,3.80800018e+01,0
"01","014","999","0505",4,6939,4.61999989e+00,0
"01","014","999","0506",6,3059,2.03999996e+00,0
"01","015","999","0187",5,6166,5.23999977e+00,0
"01","015","999","0501",3,27743,2.36000004e+01,0
"01","015","999","0502",1,36902,3.13899994e+01,0
"01","015","999","0503",2,35317,3.00400009e+01,0
"01","015","999","0505",4,7881,6.69999981e+00,0
"01","015","999","0506",6,3560,3.02999997e+00,0
"01","999","999","0187",5,68246,3.78999996e+00,0
"01","999","999","0501",3,389128,2.15900002e+01,3
"01","999","999","0502",2,581096,3.22299995e+01,5
"01","999","999","0503",1,621167,3.44599991e+01,5
"01","999","999","0505",4,101862,5.65000010e+00,0
"01","999","999","0506",6,41194,2.27999997e+00,0
"02","001","999","0501",2,2998,2.90200005e+01,0
"02","001","999","0505",5,170,1.64999998e+00,0
"02","001","999","0507",4,768,7.42999983e+00,0
"02","001","999","0510",1,3493,3.38100014e+01,0
"02","001","999","0513",6,117,1.13000000e+00,0
"02","001","999","0514",3,2784,2.69599991e+01,0
"02","002","999","0501",2,2261,3.10400009e+01,0
"02","002","999","0505",5,113,1.54999995e+00,0
"02","002","999","0507",4,370,5.07999992e+00,0
"02","002","999","0510",1,2449,3.36300011e+01,0
"02","002","999","0513",6,79,1.08000004e+00,0
"02","002","999","0514",3,2011,2.76200008e+01,0
"02","003","999","0501",2,102464,3.32700005e+01,0
"02","003","999","0505",4,17122,5.55999994e+00,0
"02","003","999","0507",5,12028,3.91000009e+00,0
"02","003","999","0510",1,148919,4.83600006e+01,0
"02","003","999","0513",6,3313,1.08000004e+00,0
"02","003","999","0514",3,24121,7.82000017e+00,0
"02","004","999","0501",2,74819,3.58899994e+01,0
"02","004","999","0505",4,13092,6.28000021e+00,0
"02","004","999","0507",5,8041,3.85999990e+00,0
"02","004","999","0510",1,86460,4.14700012e+01,0
"02","004","999","0513",6,2004,9.59999979e-01,0
"02","004","999","0514",3,24050,1.15400000e+01,0
"02","005","999","0501",2,4022,3.23400002e+01,0
"02","005","999","0505",5,351,2.81999993e+00,0
"02","005","999","0507",4,528,4.25000000e+00,0
"02","005","999","0510",3,3070,2.46800003e+01,0
"02","005","999","0513",6,210,1.69000006e+00,0
"02","005","999","0514",1,4257,3.42200012e+01,0
"02","006","999","0501",2,11713,2.88099995e+01,0
"02","006","999","0505",5,1807,4.44999981e+00,0
"02","006","999","0507",4,2607,6.40999985e+00,0
"02","006","999","0510",1,15099,3.71399994e+01,0
"02","006","999","0513",6,533,1.30999994e+00,0
"02","006","999","0514",3,8893,2.18799992e+01,0
"02","007","999","0501",2,40865,2.42800007e+01,0
"02","007","999","0505",5,14482,8.60999966e+00,0
"02","007","999","0507",3,32283,1.91800003e+01,0
"02","007","999","0510",1,53526,3.18099995e+01,0
"02","007","999","0513",6,2175,1.28999996e+00,0
"02","007","999","0514",4,24958,1.48299999e+01,0
"02","008","999","0501",2,6461,2.24799995e+01,0
"02","008","999","0505",6,792,2.75999999e+00,0
"02","008","999","0507",4,2230,7.76000023e+00,0
"02","008","999","0510",1,12497,4.34799995e+01,0
"02","008","999","0513",5,959,3.33999991e+00,0
"02","008","999","0514",3,5805,2.01800003e+01,0
"02","009","999","0501",2,4986,2.56200008e+01,0
"02","009","999","0505",5,612,3.14000010e+00,0
"02","009","999","0507",4,909,4.67000008e+00,0
"02","009","999","0510",1,8976,4.61100006e+01,0
"02","009","999","0513",6,193,9.90000010e-01,0
"02","009","999","0514",3,3789,1.94699993e+01,0
"02","010","999","0501",2,5249,2.91399994e+01,0
"02","010","999","0505",6,222,1.23000002e+00,0
"02","010","999","0507",4,1146,6.36000013e+00,0
"02","010","999","0510",1,7672,4.25800018e+01,0
"02","010","999","0513",5,387,2.15000010e+00,0
"02","010","999","0514",3,3340,1.85400009e+01,0
"02","011","999","0501",1,76738,4.35299988e+01,0
"02","011","999","0505",4,9411,5.34000015e+00,0
"02","011","999","0507",5,8727,4.94999981e+00,0
"02","011","999","0510",2,65342,3.70600014e+01,0
"02","011","999","0513",6,2665,1.50999999e+00,0
"02","011","999","0514",3,13419,7.61000013e+00,0
"02","012","999","0501",2,15039,2.84799995e+01,0
"02","012","999","0505",5,3259,6.17000008e+00,0
"02","012","999","0507",4,3491,6.61000013e+00,0
"02","012","999","0510",1,23245,4.40299988e+01,0
"02","012","999","0513",6,758,1.44000006e+00,0
"02","012","999","0514",3,7007,1.32700005e+01,0
"02","013","999","0501",2,7514,3.40499992e+01,0
"02","013","999","0505",5,369,1.66999996e+00,0
"02","013","999","0507",4,746,3.38000011e+00,0
"02","013","999","0510",1,8133,3.68499985e+01,0
"02","013","999","0513",6,219,9.90000010e-01,0
"02","013","999","0514",3,5089,2.30599995e+01,0
"02","014","999","0501",2,8673,3.31399994e+01,0
"02","014","999","0505",5,506,1.92999995e+00,0
"02","014","999","0507",4,1475,5.63999987e+00,0
"02","014","999","0510",1,10688,4.08400002e+01,0
"02","014","999","0513",6,471,1.79999995e+00,0
"02","014","999","0514",3,4357,1.66499996e+01,0
"02","015","999","0501",2,4668,3.12900009e+01,0
"02","015","999","0505",5,475,3.18000007e+00,0
"02","015","999","0507",4,759,5.09000015e+00,0
"02","015","999","0510",1,5678,3.80600014e+01,0
"02","015","999","0513",6,177,1.19000006e+00,0
"02","015","999","0514",3,3161,2.11900005e+01,0
"02","016","999","0501",2,13418,2.57600002e+01,0
"02","016","999","0505",4,2867,5.50000000e+00,0
"02","016","999","0507",5,2670,5.11999989e+00,0
