vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"02","002","999","0501",2,2257,3.21899986e+01,0
"02","002","999","0505",5,117,1.66999996e+00,0
"02","002","999","0507",4,475,6.78000021e+00,0
"02","002","999","0510",3,1544,2.20200005e+01,0
"02","002","999","0514",1,2618,3.73400002e+01,0
"02","005","999","0501",2,4058,3.46599998e+01,0
"02","005","999","0505",5,339,2.90000010e+00,0
"02","005","999","0507",4,431,3.68000007e+00,0
"02","005","999","0510",3,2105,1.79799995e+01,0
"02","005","999","0513",6,186,1.59000003e+00,0
"02","005","999","0514",1,4588,3.91899986e+01,0
"02","006","999","0501",1,11955,3.11200008e+01,0
"02","006","999","0505",5,1896,4.94000006e+00,0
"02","006","999","0507",4,4765,1.23999996e+01,0
"02","006","999","0510",2,10823,2.81700001e+01,0
"02","006","999","0514",3,8977,2.33700008e+01,0
"02","008","999","0501",2,6764,2.48600006e+01,0
"02","008","999","0505",6,819,3.00999999e+00,0
"02","008","999","0507",4,2021,7.42999983e+00,0
"02","008","999","0510",1,10220,3.75600014e+01,0
"02","008","999","0513",5,957,3.51999998e+00,0
"02","008","999","0514",3,6431,2.36200008e+01,0
"02","013","999","0501",1,8203,3.97299995e+01,0
"02","013","999","0505",5,400,1.94000006e+00,0
"02","013","999","0507",4,561,2.72000003e+00,0
"02","013","999","0510",2,5745,2.78199997e+01,0
"02","013","999","0514",3,5738,2.77900009e+01,0
"02","014","999","0501",2,8604,3.42200012e+01,0
"02","014","999","0505",5,512,2.03999996e+00,0
"02","014","999","0507",4,1391,5.53000021e+00,0
"02","014","999","0510",1,9425,3.74900017e+01,0
"02","014","999","0514",3,5211,2.07199993e+01,0
"02","016","999","0501",2,13896,2.87999992e+01,0
"02","016","999","0505",4,3072,6.36999989e+00,0
"02","016","999","0507",5,2419,5.01000023e+00,0
"02","016","999","0510",1,22861,4.73800011e+01,0
"02","016","999","0514",3,6005,1.24399996e+01,0
"02","019","999","0501",2,4971,3.64500008e+01,0
"02","019","999","0505",5,240,1.75999999e+00,0
"02","019","999","0507",4,284,2.07999992e+00,0
"02","019","999","0510",3,2773,2.03299999e+01,0
"02","019","999","0514",1,5370,3.93800011e+01,0
"02","020","999","0501",1,2926,3.87000008e+01,0
"02","020","999","0505",4,172,2.26999998e+00,0
"02","020","999","0507",5,122,1.61000001e+00,0
"02","020","999","0510",2,2425,3.20699997e+01,0
"02","020","999","0514",3,1916,2.53500004e+01,0
"02","023","999","0501",1,2687,5.03699989e+01,0
"02","023","999","0505",5,68,1.26999998e+00,0
"02","023","999","0507",4,120,2.25000000e+00,0
"02","023","999","0510",2,1814,3.40099983e+01,0
"02","023","999","0513",6,59,1.11000001e+00,0
"02","023","999","0514",3,586,1.09899998e+01,0
"02","029","999","0501",1,11184,3.77799988e+01,0
"02","029","999","0505",5,865,2.92000008e+00,0
"02","029","999","0507",4,1372,4.63000011e+00,0
"02","029","999","0510",2,10838,3.66100006e+01,0
"02","029","999","0514",3,5342,1.80599995e+01,0
"02","030","999","0501",2,5356,2.77600002e+01,0
"02","030","999","0505",5,795,4.11999989e+00,0
"02","030","999","0507",4,958,4.96999979e+00,0
"02","030","999","0510",1,6796,3.52200012e+01,0
"02","030","999","0513",6,274,1.41999996e+00,0
"02","030","999","0514",3,5116,2.65100002e+01,0
"02","031","999","0501",1,17408,4.23499985e+01,0
"02","031","999","0505",5,1092,2.66000009e+00,0
"02","031","999","0507",3,8786,2.13799992e+01,0
"02","031","999","0510",2,9807,2.38600006e+01,0
"02","031","999","0514",4,4008,9.75000000e+00,0
"02","033","999","0501",1,5075,3.03400002e+01,0
"02","033","999","0505",5,348,2.07999992e+00,0
"02","033","999","0507",6,326,1.95000005e+00,0
"02","033","999","0510",3,3569,2.13400002e+01,0
