pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"01","001","999",536,527,9.83199997e+01,125781,9.90000000e+01,118118,9.29700012e+01,7663,6.03000021e+00,1201,9.49999988e-01,69,5.00000007e-02,185226,127051,6.85899963e+01,,0,,6.97699966e+01,"0506",2392,2.02999997e+00
"01","002","999",432,422,9.76900024e+01,106018,9.92799988e+01,101592,9.51399994e+01,4426,4.13999987e+00,731,6.80000007e-01,31,3.99999991e-02,149137,106780,7.15999985e+01,,0,,7.32900009e+01,"0506",1488,1.47000003e+00
"01","003","999",483,480,9.93799973e+01,119911,9.88799973e+01,111741,9.21399994e+01,8170,6.73999977e+00,1262,1.03999996e+00,95,7.99999982e-02,167080,121268,7.25800018e+01,,0,,7.30400009e+01,"0506",2850,2.54999995e+00
"01","004","999",514,505,9.82500000e+01,131658,9.87900009e+01,122390,9.18399963e+01,9268,6.94999981e+00,1515,1.13999999e+00,86,7.00000003e-02,177500,133259,7.50800018e+01,,0,,7.64100037e+01,"0506",2414,1.96000004e+00
"01","005","999",454,452,9.95599976e+01,120011,9.90299988e+01,112895,9.31600037e+01,7116,5.86999989e+00,1126,9.30000007e-01,51,3.99999991e-02,157327,121188,7.70299988e+01,,0,,7.73700027e+01,"0506",3439,3.04999995e+00
"01","006","999",456,454,9.95599976e+01,124513,9.91200027e+01,118079,9.40000000e+01,6434,5.11999989e+00,1024,8.19999993e-01,81,5.99999987e-02,158425,125618,7.92900009e+01,,0,,7.96399994e+01,"0506",3604,3.04999995e+00
"01","007","999",497,494,9.94000015e+01,131967,9.89400024e+01,123321,9.24599991e+01,8646,6.48000002e+00,1332,1.00000000e+00,80,5.99999987e-02,172234,133379,7.74400024e+01,,0,,7.79100037e+01,"0506",3336,2.71000004e+00
"01","008","999",390,388,9.94899979e+01,103042,9.86200027e+01,95795,9.16800003e+01,7247,6.94000006e+00,1353,1.28999996e+00,90,9.00000036e-02,135809,104485,7.69400024e+01,,0,,7.73300018e+01,"0506",1495,1.54999995e+00
"01","009","999",426,423,9.93000031e+01,115331,9.89100037e+01,107417,9.21200027e+01,7914,6.78999996e+00,1202,1.02999997e+00,71,5.99999987e-02,146783,116604,7.94400024e+01,,0,,8.00000000e+01,"0506",2259,2.09999990e+00
"01","010","999",428,423,9.88300018e+01,115970,9.89300003e+01,108650,9.26900024e+01,7320,6.23999977e+00,1173,1.00000000e+00,79,7.00000003e-02,148273,117222,7.90599976e+01,,0,,7.99899979e+01,"0506",2570,2.35999990e+00
