pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"01","001","999",540,527,9.75899963e+01,125830,9.87300034e+01,121410,9.52600021e+01,4420,3.47000003e+00,1548,1.21000004e+00,72,5.99999987e-02,186651,127450,6.82799988e+01,,0,,6.99899979e+01,"9997",17073,1.40600004e+01
"01","002","999",434,422,9.72399979e+01,105781,9.90000000e+01,102080,9.55400009e+01,3701,3.46000004e+00,1031,9.59999979e-01,33,3.99999991e-02,149704,106845,7.13700027e+01,,0,,7.33399963e+01,"9997",9848,9.64999962e+00
"01","003","999",486,480,9.87699966e+01,119644,9.85100021e+01,114764,9.44899979e+01,4880,4.01999998e+00,1718,1.40999997e+00,93,7.99999982e-02,168252,121455,7.21900024e+01,,0,,7.31500015e+01,"9997",17586,1.53199997e+01
"01","004","999",517,505,9.76800003e+01,132109,9.85500031e+01,126960,9.47099991e+01,5149,3.83999991e+00,1860,1.38999999e+00,76,5.99999987e-02,178720,134045,7.50000000e+01,,0,,7.68700027e+01,"9997",16774,1.32100000e+01
"01","005","999",456,452,9.91200027e+01,119779,9.86399994e+01,115652,9.52399979e+01,4127,3.40000010e+00,1599,1.32000005e+00,51,3.99999991e-02,158090,121429,7.68099976e+01,,0,,7.75199966e+01,"9997",17704,1.53100004e+01
"01","006","999",458,454,9.91299973e+01,124202,9.87900009e+01,119626,9.51500015e+01,4576,3.64000010e+00,1437,1.13999999e+00,81,7.00000003e-02,158947,125720,7.90999985e+01,,0,,7.97099991e+01,"9997",16254,1.35900002e+01
"01","007","999",501,494,9.85999985e+01,132053,9.86299973e+01,126637,9.45800018e+01,5416,4.05000019e+00,1753,1.30999994e+00,84,5.99999987e-02,173827,133890,7.70199966e+01,,0,,7.82099991e+01,"9997",18566,1.46599998e+01
"01","008","999",394,388,9.84800034e+01,103533,9.83700027e+01,99683,9.47099991e+01,3850,3.66000009e+00,1633,1.54999995e+00,88,7.99999982e-02,137560,105254,7.65100021e+01,,0,,7.79000015e+01,"9997",12412,1.24499998e+01
"01","009","999",428,423,9.88300018e+01,114930,9.86299973e+01,110923,9.51900024e+01,4007,3.44000006e+00,1533,1.32000005e+00,69,5.00000007e-02,147744,116532,7.88700027e+01,,0,,7.99499969e+01,"9997",15171,1.36800003e+01
"01","010","999",430,423,9.83700027e+01,115911,9.86800003e+01,111436,9.48700027e+01,4475,3.80999994e+00,1476,1.25999999e+00,79,5.99999987e-02,148903,117466,7.88899994e+01,,0,,8.01600037e+01,"9997",15863,1.42399998e+01
