parCodigo,parSiglas,parDenominacion,parColor
"0002","PARTIDO JUSTICIALISTA    ","PARTIDO JUSTICIALISTA                                                                               ",5855577
"0003","UNION CIVICA RADICAL     ","UNION CIVICA RADICAL                                                                                ",255
"0008","PARTIDO FEDERAL          ","PARTIDO FEDERAL                                                                                     ",26112
"0014","PARTIDO OBRERO           ","PARTIDO OBRERO                                                                                      ",192
"0022","PARTIDO HUMANISTA        ","PARTIDO HUMANISTA                                                                                   ",4626167
"0023","UNION POPULAR            ","UNION POPULAR                                                                                       ",4626167
"0038","MOVIMIENTO SOCIALISTA DE ","MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES (MST)                                                     ",130
"0040","MOVIMIENTO LIBRES DEL SUR","MOVIMIENTO LIBRES DEL SUR                                                                           ",16764006
"0047","COALICION CIVICA - AFIRMA","COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA (ARI)                                  ",32768
"0050","PARTIDO SOCIALISTA       ","PARTIDO SOCIALISTA                                                                                  ",204
"0054","PARTIDO DE LA VICTORIA   ","PARTIDO DE LA VICTORIA                                                                              ",15773696
"0060","MOVIMIENTO INDEPENDIENTE ","MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        ",10092543
"0061","IZQUIERDA POR UNA OPCION ","IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ",5263615
"0063","ES POSIBLE               ","ES POSIBLE                                                                                          ",3381759
"0064","PRO PROPUESTA REPUBLICANA","PRO PROPUESTA REPUBLICANA                                                                           ",65535
"0068","NUEVA IZQUIERDA          ","NUEVA IZQUIERDA                                                                                     ",13260
"0069","GEN                      ","GEN                                                                                                 ",12835293
"0150","DEMOCRATA INDEPENDIENTE  ","DEMOCRATA INDEPENDIENTE                                                                             ",14336204
"0151","PARTIDO INDEPENDIENTE DEL","PARTIDO INDEPENDIENTE DEL CHUBUT                                                                    ",16764159
"0152","MOVIMIENTO POLO SOCIAL LA","MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              ",683492
"0153","MOVIMIENTO POPULAR NEUQUI","MOVIMIENTO POPULAR NEUQUINO                                                                         ",14606046
"0154","PARTIDO PROVINCIAL RIONEG","PARTIDO PROVINCIAL RIONEGRINO                                                                       ",14994616
"0155","PARTIDO RENOVADOR DE SALT","PARTIDO RENOVADOR DE SALTA                                                                          ",14336204
"0156","CRUZADA RENOVADORA       ","CRUZADA RENOVADORA                                                                                  ",12106214
"0157","PARTIDO DE ACCION CHUBUTE","PARTIDO DE ACCION CHUBUTENSE                                                                        ",5296274
"0158","MOVIMIENTO POPULAR FUEGUI","MOVIMIENTO POPULAR FUEGUINO                                                                         ",9944773
"0159","FRENTE MERCEDINOS POR EL ","FRENTE MERCEDINOS POR EL CAMBIO                                                                     ",7237260
"0160","PROYECTO CLASE MEDIA     ","PROYECTO CLASE MEDIA                                                                                ",1389333
"0161","PARTIDO NUEVA GENERACION ","PARTIDO NUEVA GENERACION                                                                            ",3373845
"0162","PARTIDO MOVIMIENTO VECINA","PARTIDO MOVIMIENTO VECINAL INDEPENDIENTE PROVINCIAL                                                 ",1381875
"0163","PARTIDO CONVERGENCIA DEMO","PARTIDO CONVERGENCIA DEMOCRATICA                                                                    ",6015245
"0164","MOVIMIENTO DE INTEGRACION","MOVIMIENTO DE INTEGRACION LATINOAMERICANA EXP.SOC                                                   ",5066944
"0165","PARTIDO NUEVO OCTUBRE    ","PARTIDO NUEVO OCTUBRE                                                                               ",7973645
"0166","UNION DE LOS NEUQUINOS   ","UNION DE LOS NEUQUINOS                                                                              ",14202006
"0168","PARTIDO DIGNIDAD CIUDADAN","PARTIDO DIGNIDAD CIUDADANA                                                                          ",16776960
"0174","PARTIDO POPULAR          ","PARTIDO POPULAR                                                                                     ",9803737
"0179","PARTIDO CIUDADANOS A GOBE","PARTIDO CIUDADANOS A GOBERNAR                                                                       ",14136213
"0180","SANTAFESINO CIEN POR CIEN","SANTAFESINO CIEN POR CIENTO                                                                         ",153
"0181","FUERZA REPUBLICANA       ","FUERZA REPUBLICANA                                                                                  ",16737894
"0182","PROYECTO SUR             ","PROYECTO SUR                                                                                        ",3394611
"0183","PARTIDO MOVIMIENTO AL SOC","PARTIDO MOVIMIENTO AL SOCIALISMO                                                                    ",4276545
"0184","PUEBLO NUEVO             ","PUEBLO NUEVO                                                                                        ",13020235
"0185","VOS CAMBIO Y ACCION      ","VOS CAMBIO Y ACCION                                                                                 ",14202006
"0186","LABORISTA DE LA INDEPENDE","LABORISTA DE LA INDEPENDENCIA                                                                       ",3969653
"0187","AUTODETERMINACION Y LIBER","AUTODETERMINACION Y LIBERTAD                                                                        ",16724889
"0188","CAMBIO POPULAR TUCUMANO  ","CAMBIO POPULAR TUCUMANO                                                                             ",6697881
"0190","PARTIDO DE LOS TRABAJADOR","PARTIDO DE LOS TRABAJADORES SOCIALISTAS                                                             ",13260
"0191","VECINALISMO INDEPENDIENTE","VECINALISMO INDEPENDIENTE                                                                           ",6684876
"0199","ESPACIO DEMOCRATICO PARA ","ESPACIO DEMOCRATICO PARA LA VICTORIA                                                                ",14474738
"0200","MEMORIA Y MOVILIZACION SO","MEMORIA Y MOVILIZACION SOCIAL                                                                       ",14281213
"0201","MOVIMIENTO SOLIDARIO POPU","MOVIMIENTO SOLIDARIO POPULAR                                                                        ",12379351
"0203","SALTA SOMOS TODOS        ","SALTA SOMOS TODOS                                                                                   ",12379351
"0208","PARTIDO POR UN PUEBLO UNI","PARTIDO POR UN PUEBLO UNIDO                                                                         ",5287936
"0216","FRENTE PLURAL            ","FRENTE PLURAL                                                                                       ",14474738
"0217","ENCUENTRO VECINAL CORDOBA","ENCUENTRO VECINAL CORDOBA                                                                           ",683492
"0218","FRENTE GRANDE            ","FRENTE GRANDE                                                                                       ",1381813
"0234","MOVIMIENTO AL SOCIALISMO ","MOVIMIENTO AL SOCIALISMO                                                                            ",13158
"0262","EL MOVIMIENTO            ","EL MOVIMIENTO                                                                                       ",13434828
"0272","GENTE EN ACCION          ","GENTE EN ACCION                                                                                     ",6750156
