vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"01","001","999","0008",20,197,1.59999996e-01,0
"01","001","999","0060",23,128,1.09999999e-01,0
"01","001","999","0063",10,1133,9.30000007e-01,0
"01","001","999","0068",13,459,3.79999995e-01,0
"01","001","999","0187",7,2916,2.40000010e+00,0
"01","001","999","0234",12,610,5.00000000e-01,0
"01","001","999","0262",19,214,1.80000007e-01,0
"01","001","999","0501",3,22485,1.85200005e+01,0
"01","001","999","0502",2,27034,2.22700005e+01,0
"01","001","999","0503",1,43098,3.55000000e+01,0
"01","001","999","0505",5,5841,4.80999994e+00,0
"01","001","999","0506",8,2040,1.67999995e+00,0
"01","001","999","0542",6,5654,4.65999985e+00,0
"01","001","999","0551",21,194,1.59999996e-01,0
"01","001","999","0552",15,332,2.70000011e-01,0
"01","001","999","0553",18,235,1.89999998e-01,0
"01","001","999","0554",4,5879,4.84000015e+00,0
"01","001","999","0555",24,0,0.00000000e+00,0
"01","001","999","0556",17,267,2.19999999e-01,0
"01","001","999","0557",11,631,5.19999981e-01,0
"01","001","999","0558",9,1183,9.70000029e-01,0
"01","001","999","0559",22,129,1.09999999e-01,0
"01","001","999","0560",14,430,3.60000014e-01,0
"01","001","999","0561",16,321,2.59999990e-01,0
"01","002","999","0008",18,107,1.00000001e-01,0
"01","002","999","0060",23,44,3.99999991e-02,0
"01","002","999","0063",11,579,5.69999993e-01,0
"01","002","999","0068",15,193,1.89999998e-01,0
"01","002","999","0187",7,1721,1.69000006e+00,0
"01","002","999","0234",13,286,2.80000001e-01,0
"01","002","999","0262",20,92,9.00000036e-02,0
"01","002","999","0501",3,10424,1.02100000e+01,0
"01","002","999","0502",2,28907,2.83199997e+01,0
"01","002","999","0503",1,42380,4.15200005e+01,0
"01","002","999","0505",5,3321,3.25000000e+00,0
"01","002","999","0506",9,1246,1.22000003e+00,0
"01","002","999","0542",6,2306,2.25999999e+00,0
"01","002","999","0551",22,58,5.99999987e-02,0
"01","002","999","0552",21,89,9.00000036e-02,0
"01","002","999","0553",17,138,1.40000001e-01,0
"01","002","999","0554",4,7200,7.05000019e+00,0
"01","002","999","0555",24,0,0.00000000e+00,0
"01","002","999","0556",16,147,1.40000001e-01,0
"01","002","999","0557",10,683,6.70000017e-01,0
"01","002","999","0558",8,1372,1.34000003e+00,0
"01","002","999","0559",19,94,9.00000036e-02,0
"01","002","999","0560",12,414,4.09999996e-01,0
"01","002","999","0561",14,279,2.70000011e-01,0
"01","003","999","0008",20,211,1.80000007e-01,0
"01","003","999","0060",23,115,1.00000001e-01,0
"01","003","999","0063",10,926,8.10000002e-01,0
"01","003","999","0068",12,464,4.00000006e-01,0
"01","003","999","0187",7,3294,2.86999989e+00,0
"01","003","999","0234",11,650,5.69999993e-01,0
"01","003","999","0262",21,171,1.50000006e-01,0
"01","003","999","0501",3,21899,1.90799999e+01,0
"01","003","999","0502",2,26737,2.32999992e+01,0
"01","003","999","0503",1,35896,3.12800007e+01,0
"01","003","999","0505",4,6870,5.98999977e+00,0
"01","003","999","0506",8,2524,2.20000005e+00,0
"01","003","999","0542",5,5776,5.03000021e+00,0
"01","003","999","0551",22,156,1.40000001e-01,0
"01","003","999","0552",14,385,3.40000004e-01,0
"01","003","999","0553",17,271,2.39999995e-01,0
"01","003","999","0554",6,5758,5.01999998e+00,0
"01","003","999","0555",24,0,0.00000000e+00,0
"01","003","999","0556",19,226,2.00000003e-01,0
"01","003","999","0557",13,409,3.60000014e-01,0
"01","003","999","0558",9,1138,9.90000010e-01,0
"01","003","999","0559",16,274,2.39999995e-01,0
"01","003","999","0560",15,350,2.80000001e-01,0
"01","003","999","0561",18,264,2.30000004e-01,0
"01","004","999","0008",19,253,2.00000003e-01,0
"01","004","999","0060",22,166,1.29999995e-01,0
"01","004","999","0063",9,1011,8.00000012e-01,0
"01","004","999","0068",12,661,5.19999981e-01,0
"01","004","999","0187",7,3087,2.43000007e+00,0
"01","004","999","0234",10,826,6.49999976e-01,0
"01","004","999","0262",21,236,1.89999998e-01,0
"01","004","999","0501",2,27278,2.14899998e+01,0
"01","004","999","0502",3,24280,1.91200008e+01,0
"01","004","999","0503",1,43208,3.40299988e+01,0
"01","004","999","0505",5,7631,6.01000023e+00,0
"01","004","999","0506",8,2259,1.77999997e+00,0
"01","004","999","0542",4,7789,6.13999987e+00,0
"01","004","999","0551",20,238,1.89999998e-01,0
"01","004","999","0552",13,596,4.69999999e-01,0
"01","004","999","0553",18,311,2.39999995e-01,0
"01","004","999","0554",6,4704,3.71000004e+00,0
"01","004","999","0555",24,0,0.00000000e+00,0
"01","004","999","0556",17,326,2.59999990e-01,0
"01","004","999","0557",14,441,3.49999994e-01,0
"01","004","999","0558",11,800,6.29999995e-01,0
"01","004","999","0559",23,148,1.19999997e-01,0
"01","004","999","0560",15,384,2.80000001e-01,0
"01","004","999","0561",16,327,2.59999990e-01,0
"01","005","999","0008",20,153,1.29999995e-01,0
"01","005","999","0060",23,104,9.00000036e-02,0
"01","005","999","0063",10,737,6.39999986e-01,0
"01","005","999","0068",12,462,4.00000006e-01,0
"01","005","999","0187",7,3816,3.29999995e+00,0
"01","005","999","0234",11,594,5.09999990e-01,0
"01","005","999","0262",18,177,1.50000006e-01,0
"01","005","999","0501",3,21671,1.87399998e+01,0
"01","005","999","0502",2,29063,2.51299992e+01,0
"01","005","999","0503",1,33436,2.89099998e+01,0
"01","005","999","0505",5,6532,5.65000010e+00,0
"01","005","999","0506",8,2974,2.56999993e+00,0
"01","005","999","0542",6,5419,4.69000006e+00,0
"01","005","999","0551",21,121,1.00000001e-01,0
"01","005","999","0552",15,319,2.80000001e-01,0
"01","005","999","0553",17,218,1.89999998e-01,0
"01","005","999","0554",4,7246,6.26999998e+00,0
"01","005","999","0555",24,0,0.00000000e+00,0
"01","005","999","0556",19,159,1.40000001e-01,0
"01","005","999","0557",14,359,3.10000002e-01,0
"01","005","999","0558",9,1327,1.14999998e+00,0
"01","005","999","0559",22,119,1.00000001e-01,0
"01","005","999","0560",16,266,2.19999999e-01,0
"01","005","999","0561",13,380,3.30000013e-01,0
"01","006","999","0008",19,140,1.19999997e-01,0
