vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"01","001","999","0187",5,2722,2.28999996e+00,0
"01","001","999","0501",3,29880,2.51299992e+01,0
"01","001","999","0502",2,30582,2.57199993e+01,0
"01","001","999","0503",1,47700,4.01199989e+01,0
"01","001","999","0505",4,5448,4.57999992e+00,0
"01","001","999","0506",6,2576,2.16000009e+00,0
"01","002","999","0187",6,1573,1.53999996e+00,0
"01","002","999","0501",3,13804,1.35200005e+01,0
"01","002","999","0502",2,32729,3.20600014e+01,0
"01","002","999","0503",1,49205,4.82000008e+01,0
"01","002","999","0505",4,2964,2.90000010e+00,0
"01","002","999","0506",5,1819,1.77999997e+00,0
"01","003","999","0187",6,3005,2.67000008e+00,0
"01","003","999","0501",2,29374,2.61299992e+01,0
"01","003","999","0502",3,29300,2.60699997e+01,0
"01","003","999","0503",1,41169,3.66199989e+01,0
"01","003","999","0505",4,6478,5.76000023e+00,0
"01","003","999","0506",5,3082,2.75000000e+00,0
"01","004","999","0187",5,2891,2.32999992e+00,0
"01","004","999","0501",2,37337,3.01299992e+01,0
"01","004","999","0502",3,26457,2.13500004e+01,0
"01","004","999","0503",1,47615,3.84199982e+01,0
"01","004","999","0505",4,7047,5.69000006e+00,0
"01","004","999","0506",6,2583,2.07999992e+00,0
"01","005","999","0187",6,3494,3.06999993e+00,0
"01","005","999","0501",3,29259,2.57000008e+01,0
"01","005","999","0502",2,32174,2.82600002e+01,0
"01","005","999","0503",1,39002,3.42599983e+01,0
"01","005","999","0505",4,6098,5.36000013e+00,0
"01","005","999","0506",5,3823,3.34999990e+00,0
"01","006","999","0187",6,3504,2.95000005e+00,0
"01","006","999","0501",3,25188,2.12000008e+01,0
"01","006","999","0502",2,37639,3.16800003e+01,0
"01","006","999","0503",1,43042,3.62299995e+01,0
"01","006","999","0505",4,5303,4.46000004e+00,0
"01","006","999","0506",5,4129,3.48000002e+00,0
"01","007","999","0187",6,3389,2.73000002e+00,0
"01","007","999","0501",3,31641,2.54500008e+01,0
"01","007","999","0502",2,34464,2.77199993e+01,0
"01","007","999","0503",1,45111,3.62900009e+01,0
"01","007","999","0505",4,5957,4.78999996e+00,0
"01","007","999","0506",5,3756,3.01999998e+00,0
"01","008","999","0187",5,2071,2.14000010e+00,0
"01","008","999","0501",2,33212,3.42999992e+01,0
"01","008","999","0502",3,17808,1.83899994e+01,0
"01","008","999","0503",1,37187,3.84099998e+01,0
"01","008","999","0505",4,5003,5.17000008e+00,0
"01","008","999","0506",6,1537,1.59000003e+00,0
